song_name,artist,album,album_price,song_price,duration_ms,genre,dateReleased,duration_min,album_name_length,song_name_length
Party,Clint Mansell & Kronos Quartet,Requiem for a Dream (Soundtrack from the Motion Picture),9.99,0.99,28800,Pop,2000-10-03T12:00:00Z,0.48,56,5
The Summoning,LINKIN PARK,The Hunting Party,10.99,-1,60440,Hard Rock,2014-06-13T07:00:00Z,1.0073333333333334,17,13
Party,Dr. Acula,Below Me,9.99,0.99,64840,Rock,2008-07-22T12:00:00Z,1.0806666666666667,8,5
Let's Have a Tea Party,The Countdown Kids,150 Fun Songs for Kids,9.99,0.99,70827,Children's Music,2004-04-20T12:00:00Z,1.18045,22,22
Dance Party,Sleeping With Sirens,With Ears to See and Eyes to Hear,9.99,1.29,92881,Hard Rock,2010-03-22T12:00:00Z,1.5480166666666666,33,11
The Prince of Parties,Flight of the Conchords,Flight of the Conchords,9.99,0.99,108467,Alternative,2008-04-21T07:00:00Z,1.8077833333333333,23,21
Party,"The Original Broadway Cast of ""Million Dollar Quartet""",Million Dollar Quartet (Original Broadway Cast Recording),9.99,0.99,114307,Soundtrack,2010-09-28T12:00:00Z,1.9051166666666666,57,5
Sports - (Chicago Bulls Theme),Bobby Morganstein,"The Complete Grand Entrance Party, Vol. 6",9.99,0.99,125173,Soundtrack,1993-01-01T12:00:00Z,2.0862166666666666,41,30
Nobody Really Cares If You Don't Go to the Party,Courtney Barnett,"Sometimes I Sit and Think, and Sometimes I Just Sit",9.99,0.69,166080,Alternative,2015-03-20T07:00:00Z,2.768,51,48
Blue Light,Bloc Party,Silent Alarm,9.99,1.29,166227,Rock,2005-01-01T12:00:00Z,2.77045,12,10
Peaches,The Presidents of the United States of America,The Presidents of the United States of America (10th Anniversary Edition),9.99,0.99,171693,Alternative,1995-03-01T08:00:00Z,2.86155,73,7
Love Addict,Family Force 5,Business Up Front / Party In the Back,9.99,1.29,172840,Rock,2006-02-14T12:00:00Z,2.8806666666666665,37,11
Party On Fifth Ave.,Mac Miller,Blue Slide Park,9.99,1.29,173516,Hip-Hop/Rap,2011-10-28T07:00:00Z,2.8919333333333332,15,19
Party,Love Arcade,Love Arcade,9.99,0.99,174547,Alternative,2006-08-08T12:00:00Z,2.909116666666667,11,5
"Party In the CIA (Parody of ""Party In the U.S.A."" By Miley Cyrus)","""Weird Al"" Yankovic",Alpocalypse (Deluxe Version),13.99,1.29,176790,Comedy,2011-06-17T12:00:00Z,2.9465,28,65
House Party (Andrew W.K. Remix) [Bonus Track],3OH!3,Streets of Gold (Deluxe Version),12.99,1.29,177899,Pop,2010-06-29T07:00:00Z,2.9649833333333335,32,45
How She Rolls,Chase Rice,Ignite the Night (Party Edition),5.99,1.29,179076,Country,2013-04-03T07:00:00Z,2.9846,32,13
Party,Jonn Hart,Heart 2 Hart 2 (Deluxe Edition),9.99,1.29,179836,Hip-Hop/Rap,2014-07-24T12:00:00Z,2.9972666666666665,31,5
Welcome to the Party (feat. Zhavia Ward),"Diplo, French Montana & Lil Pump",Deadpool 2 (Original Motion Picture Soundtrack),9.99,1.29,181720,Soundtrack,2018-05-15T12:00:00Z,3.0286666666666666,47,40
Play in the Sheets,Zak Diesal & Party,Play in the Sheets - Single,0.99,0.99,182935,Pop,2016-11-27T12:00:00Z,3.0489166666666665,27,18
